Frequency Result Magnitude
0 (10749,0) 10749
15 (11125,-2010.22) 11305.2
31 (8229.57,-1658.26) 8394.98
46 (9456.5,-756.899) 9486.74
62 (11333,-3728.46) 11930.6
78 (11192.4,-4499.36) 12062.9
93 (10230.2,-882.413) 10268.2
109 (12227.9,-3396.64) 12690.9
125 (11325.7,-5204.48) 12464.3
140 (9649.51,-4911.36) 10827.5
156 (8819.87,-6270.42) 10821.7
171 (10133.9,-5310.28) 11441
187 (9190.74,-6088.62) 11024.6
203 (10545.4,-8563.63) 13584.6
218 (10483.9,-5962.69) 12061
234 (11859.6,-8459.84) 14567.8
250 (11759.9,-7601.53) 14002.8
265 (12688.3,-7745.85) 14865.8
281 (11923.3,-11612.4) 16643.7
296 (11062.6,-10433.1) 15206.3
312 (10047.7,-11490.6) 15264
328 (10685.6,-12222) 16234.6
343 (14089,-11520.6) 18199.6
359 (12276.9,-14155.4) 18737.6
375 (12701.5,-17808.3) 21873.8
390 (10815,-17034.2) 20177.4
406 (10964.2,-13653.7) 17511
421 (11912.9,-18310.2) 21844.5
437 (16617.1,-18039.2) 24526.3
453 (13659,-21012.5) 25061.8
468 (15326.3,-23545) 28093.8
484 (12726.9,-24124.3) 27275.5
500 (15900,-26566.4) 30961
515 (18505.1,-27490.3) 33138.4
531 (15240.9,-30477.7) 34076
546 (13993.9,-33796.2) 36578.9
562 (15944,-33758.7) 37334.5
578 (22063.9,-36588.6) 42726.3
593 (23458.6,-44078.4) 49932.1
609 (21452,-51300.4) 55605
625 (17925.2,-57177.2) 59921.2
640 (18363.1,-55145.2) 58122.2
656 (32825.4,-57896.5) 66554.6
671 (42797.7,-79389.4) 90190.4
687 (36522.4,-109292) 115233
703 (13822.8,-123824) 124593
718 (9633.37,-103863) 104309
734 (96495.6,-75051.9) 122246
750 (419702,-161827) 449819
765 (2.65581e+06,-1.83236e+06) 3.22659e+06
781 (-923279,1.23652e+06) 1.54319e+06
796 (-207930,635205) 668371
812 (-19929,375050) 375579
828 (15074.7,218873) 219392
843 (-1381.75,141397) 141403
859 (-16894.5,120713) 121889
875 (-13831.3,116476) 117294
890 (-428.713,105651) 105652
906 (5883,90208.7) 90400.3
921 (2525.62,71637.7) 71682.2
937 (1579.26,64977.5) 64996.7
953 (900.156,66558.4) 66564.5
968 (6784.48,64484.2) 64840.2
984 (7788.65,56938.5) 57468.7
1000 (13225.6,50813.4) 52506.3
1015 (9097.02,48329.6) 49178.3
1031 (11566.7,49080.2) 50424.7
1046 (11396.5,46936.6) 48300.3
1062 (13762.4,42810.8) 44968.5
1078 (15887,40696.6) 43687.6
1093 (15933.9,37021.5) 40304.8
1109 (16310.4,38933.7) 42212.1
1125 (18379.3,39482.8) 43551
1140 (22735.9,37131.9) 43539.6
1156 (25313.9,35308.1) 43444.9
1171 (22857.9,35243.1) 42006.7
1187 (23959.7,34370.6) 41897.6
1203 (29416.5,34938.8) 45673.3
1218 (31252.1,33526) 45833.2
1234 (34721.3,32620.2) 47640.8
1250 (34677.4,30468) 46160.9
1265 (35974.2,37804) 52185.1
1281 (43532.8,39591.2) 58843.6
1296 (48867.9,36065.7) 60735.5
1312 (55508.3,31439.7) 63793.7
1328 (52499.5,34905.9) 63044.6
1343 (61754.6,44918.9) 76363.2
1359 (76224.1,52329) 92457.8
1375 (100116,50171.1) 111984
1390 (113592,41452.6) 120919
1406 (115343,48834.8) 125255
1421 (131787,104935) 168461
1437 (244750,224128) 331867
1453 (614097,375710) 719912
1468 (2.29497e+06,600354) 2.37219e+06
1484 (-2.59826e+06,157627) 2.60304e+06
1500 (-662794,237032) 703904
1515 (-268644,140253) 303052
1531 (-149247,44658) 155785
1546 (-126484,-3494.35) 126532
1562 (-125897,-5444.49) 126014
1578 (-114043,11268.1) 114598
1593 (-93214.4,16408.1) 94647.5
1609 (-75507.4,13375.8) 76683
1625 (-68095.1,4972.92) 68276.5
1640 (-67738,4095.38) 67861.7
1656 (-63871.9,6163.49) 64168.6
1671 (-56731.1,9112.4) 57458.3
1687 (-50719.1,9544.41) 51609.4
1703 (-46905.6,6545.13) 47360.1
1718 (-46890.4,4430.96) 47099.3
1734 (-45120.2,6408.59) 45573.1
1750 (-41908,6224.78) 42367.8
1765 (-39355.1,9102.58) 40394.1
1781 (-37575.4,6094.56) 38066.4
1796 (-37487.8,5227.52) 37850.5
1812 (-36606.8,5703.95) 37048.5
1828 (-35291.4,8161.36) 36222.8
1843 (-32878.6,8198.35) 33885.3
1859 (-29786,5771.11) 30339.9
1875 (-28868,5879.99) 29460.7
1890 (-30447.2,6032.58) 31039.1
1906 (-28107.1,6624.59) 28877.3
1921 (-28730.3,6881.27) 29542.9
1937 (-27031,7519.09) 28057.3
1953 (-28589.5,5721.31) 29156.3
1968 (-29261.4,7522.33) 30212.9
1984 (-24894.3,5234.07) 25438.6
2000 (-25094,5111) 25609.2
2015 (-24824.1,6357.81) 25625.4
2031 (-25195.6,5930.77) 25884.2
2046 (-24720.7,6764.88) 25629.6
2062 (-22880.6,6905.94) 23900
2078 (-21843.5,5303.34) 22478
