Frequency Result Magnitude
0 (-19969,0) 19969
15 (-20289.1,460.384) 20294.3
31 (-20409.3,-499.557) 20415.4
46 (-20530.2,-898.295) 20549.8
62 (-20101.4,-1834.11) 20184.9
78 (-20768,-2547.63) 20923.7
93 (-22223.6,-2363.69) 22349
109 (-19854.2,-1789.33) 19934.7
125 (-21263,-5142.87) 21876.1
140 (-24967.9,-3205.25) 25172.8
156 (-21457.7,-8075.25) 22926.9
171 (-20969.3,-8415.69) 22595
187 (-21240.4,-8408.58) 22844.2
203 (-24127.2,-10360.2) 26257.5
218 (-24214.6,-11154.4) 26660.2
234 (-22360.1,-8743.43) 24008.8
250 (-23691.7,-10315.5) 25840
265 (-25240.8,-10665) 27401.5
281 (-24309.1,-10042.7) 26301.8
296 (-25349.5,-11591.1) 27873.8
312 (-24344.2,-15727.3) 28982.5
328 (-27195.9,-16326.9) 31720.5
343 (-28184.9,-16568.9) 32694.3
359 (-26905.6,-14984.1) 30796.7
375 (-29675.8,-17604.7) 34504.7
390 (-31542.4,-19617.3) 37145.1
406 (-31800.4,-22224.2) 38796.7
421 (-31985.5,-21925.5) 38778.9
437 (-30062.1,-23499.8) 38157.2
453 (-34262.1,-26102.4) 43072.3
468 (-37921.3,-27899.6) 47078.8
484 (-40401.3,-26219.8) 48163.7
500 (-37333,-27441) 46333.2
515 (-38203,-35579.5) 52205.1
531 (-44626.8,-42149.4) 61385.1
546 (-51441.7,-40550.5) 65502.6
562 (-48436.4,-40599.3) 63201.2
578 (-44825.6,-57636.4) 73015.7
593 (-58143.5,-80585.9) 99371.8
609 (-82995,-90068.3) 122476
625 (-89305.2,-87893.1) 125302
640 (-64280.9,-130736) 145685
656 (-77225.8,-292818) 302831
671 (-322287,-612071) 691736
687 (-1.56245e+06,-1.33905e+06) 2.05774e+06
703 (2.6968e+06,831833) 2.82217e+06
718 (523700,-19373.6) 524059
734 (134656,16128.3) 135618
750 (57837.2,96329.4) 112359
765 (77590.4,109350) 134081
781 (80513.5,75649.1) 110477
796 (61760.3,50080.7) 79513.6
812 (38243.3,50735.2) 63534.3
828 (40264.5,56718) 69556.9
843 (44486.8,48652.4) 65925.2
859 (44291.6,38395.4) 58617
875 (34052.4,36962.1) 50257
890 (30951.5,36148.9) 47589.3
906 (35212,35032.4) 49670.5
921 (33867.3,27418) 43574.5
937 (30900.2,22004.4) 37934.4
953 (25105,23473.4) 34369.5
968 (29929,22669.4) 37545.3
984 (29821.3,16913.3) 34283.6
1000 (27334.7,14277.7) 30838.9
1015 (24613.5,16419.9) 29587.8
1031 (25691.3,13363) 28958.8
1046 (27218.8,13785.6) 30510.7
1062 (27639.1,7151.68) 28549.4
1078 (26343.6,7174.84) 27303.2
1093 (24617,8521.36) 26050.2
1109 (30791,2414.41) 30885.6
1125 (27233.6,-1216.16) 27260.8
1140 (25201.4,1478.48) 25244.8
1156 (27388.8,1118.67) 27411.7
1171 (28309.8,-2663.87) 28434.8
1187 (28967,-6138.43) 29610.2
1203 (26153.8,-10147.2) 28053.3
1218 (26859.9,-8711.78) 28237.4
1234 (31102.4,-10481.9) 32821.2
1250 (32884.6,-14198.9) 35819
1265 (32570,-17152.1) 36810.3
1281 (33188.7,-18935.2) 38210.4
1296 (38823,-15156.5) 41676.6
1312 (44499.9,-21232.8) 49305.9
1328 (46134.2,-31792.6) 56028
1343 (42920.4,-31225.6) 53077.3
1359 (54138.3,-22445.8) 58606.9
1375 (78161.5,-28826) 83307.6
1390 (93097.1,-54036.2) 107643
1406 (88949.1,-72371.7) 114672
1421 (104344,-37624.4) 110920
1437 (248648,3260.24) 248669
1453 (646461,-118212) 657180
