Frequency Result Magnitude
0 (768,0) 768
15 (1703.69,-1585.03) 2326.99
31 (4409.93,-91.8745) 4410.88
46 (1095.54,-1308.55) 1706.61
62 (705.497,-2196.76) 2307.27
78 (2247.14,-1839.02) 2903.73
93 (2359.68,-3364.88) 4109.8
109 (2248.13,-3834.47) 4444.91
125 (3427.84,-5107.3) 6150.98
140 (2582.34,-5588.92) 6156.66
156 (2126.44,-7305.02) 7608.22
171 (2225.74,-6784.87) 7140.62
187 (1790.07,-9054.34) 9229.59
203 (4889.99,-9596.22) 10770.3
218 (3772.07,-8324.63) 9139.36
234 (2981.57,-11661.4) 12036.6
250 (4082.77,-10579.3) 11339.7
265 (3989.1,-12990.3) 13589
281 (3738.47,-13870.5) 14365.5
296 (3402.88,-16870.8) 17210.6
312 (3466.15,-13620.7) 14054.8
328 (3566.35,-15477.6) 15883.1
343 (2795.44,-15728.2) 15974.7
359 (6050.76,-21137.9) 21986.9
375 (4978.75,-19232.5) 19866.4
390 (4152.37,-22449.5) 22830.3
406 (6952.08,-20755.1) 21888.5
421 (8717.34,-24387.6) 25898.8
437 (5372.36,-24536.4) 25117.7
453 (3962.06,-27190) 27477.1
468 (4171.49,-29488.8) 29782.4
484 (6817.95,-27774.8) 28599.4
500 (7707.09,-33053.4) 33940
515 (9643.4,-36260.4) 37520.9
531 (10204.3,-42854.5) 44052.6
546 (7789.77,-42951.6) 43652.3
562 (11921.9,-41964.4) 43625
578 (13660.8,-43397) 45496.4
593 (16966.9,-52696.9) 55361
609 (14051.8,-62527.3) 64086.8
625 (12251.9,-65528.9) 66664.4
640 (12698.5,-63835.1) 65085.9
656 (24121.9,-70119.3) 74152.5
671 (34629,-92450.5) 98723.2
687 (30266.4,-122209) 125901
703 (12044.7,-134422) 134960
718 (3970.44,-117350) 117417
734 (91316.5,-86801.5) 125989
750 (413371,-177494) 449867
765 (2.65228e+06,-1.8461e+06) 3.23151e+06
781 (-925736,1.22281e+06) 1.53371e+06
796 (-209922,618701) 653343
812 (-21304.8,358399) 359032
828 (14244.7,200711) 201215
843 (-4163.25,124735) 124804
859 (-20302.1,104938) 106884
875 (-13748.5,97847.9) 98809.1
890 (-6042.28,81370.1) 81594.1
906 (5048.85,64304.6) 64502.5
921 (4232.34,51728.7) 51901.6
937 (4258.2,43692.1) 43899.1
953 (5874.99,37986) 38437.7
968 (7772.59,34953.4) 35807.2
984 (12824.1,29281.5) 31966.6
1000 (19563.6,21717.9) 29230.2
1015 (18536.2,16167.9) 24596.6
1031 (26632.5,10974.3) 28805
1046 (29114.9,1656.16) 29162
1062 (28610.6,-1553) 28652.7
1078 (32490.5,-3500.55) 32678.6
1093 (48607,-4684.14) 48832.2
1109 (67605.7,-23218.2) 71481.6
1125 (74255.3,-48503.6) 88693
1140 (66645.7,-56078.3) 87100.1
1156 (80820.2,-32357.1) 87056.8
1171 (196318,23670.4) 197740
1187 (584972,8795.52) 585038
1203 (2.81242e+06,-773532) 2.91685e+06
1218 (-1.65786e+06,1.11226e+06) 1.9964e+06
1234 (-471553,575493) 744012
1250 (-177441,345836) 388700
1265 (-100358,195794) 220016
1281 (-97004,125613) 158709
1296 (-101828,107767) 148266
1312 (-91942.4,107106) 141156
1328 (-71472.6,99393.5) 122423
1343 (-59420.1,84540.7) 103334
1359 (-56720.6,70102.4) 90175.3
1375 (-59498.6,64169.6) 87509
1390 (-56312.3,63462.4) 84844.3
1406 (-49841.3,62277.8) 79766.4
1421 (-44843,57698.6) 73075.5
1437 (-41636.8,53688.6) 67941.8
1453 (-40866.5,47235.5) 62460.1
1468 (-42080.6,46987.2) 63076
1484 (-40096.5,46183.4) 61160.7
1500 (-35629.1,43764.9) 56434
1515 (-36002.5,40377.6) 54097.4
1531 (-36556.1,41384.2) 55217.8
1546 (-34792.7,36624.4) 50516.1
1562 (-33414.4,37274.3) 50059
1578 (-32009.3,37833.3) 49557.6
1593 (-32498,35632) 48226.1
1609 (-31360.9,31161.7) 44210.4
1625 (-30863.3,34983.9) 46652.1
1640 (-30309.9,30308.7) 42863.8
1656 (-29780.5,31049) 43022.2
1671 (-29611.8,30371.5) 42418
1687 (-26041,28739.4) 38782.5
1703 (-25826.8,28194.6) 38235.6
1718 (-27236.1,29355.4) 40044.3
1734 (-26728.3,28297.2) 38924.7
1750 (-25542.8,27334.8) 37411.6
1765 (-26370.4,25498.2) 36681.8
1781 (-25409.7,26344.4) 36601.6
1796 (-25101,24232.5) 34889.4
1812 (-24156,24122.2) 34137.9
1828 (-24165,24648.7) 34518.2
1843 (-24633.7,22512.3) 33371
1859 (-26560.2,22190.4) 34610.1
1875 (-23794.2,24079.9) 33852.7
1890 (-22956.4,20673.9) 30893.5
1906 (-23014.6,21534) 31518
1921 (-24163.6,20611.4) 31760.2
1937 (-23508.7,18908.9) 30169.7
1953 (-23559.5,20191.5) 31028.2
1968 (-21835,21197.7) 30432.1
1984 (-22254,20067.1) 29965.4
2000 (-22531,18187) 28955.4
2015 (-22756.6,18024.4) 29030
2031 (-21301.9,18705.9) 28349.3
2046 (-21229,16585.7) 26939.8
2062 (-20424.2,18367.5) 27468.4
2078 (-24062.8,16152.4) 28981.3
2093 (-21110,17934.1) 27699.5
2109 (-19213,17114.5) 25730.2
2125 (-21613.8,14164.5) 25841.6
2140 (-17578.8,15103.1) 23175.9
2156 (-21395.3,14937.3) 26093.7
2171 (-21894.3,15689.7) 26935.6
2187 (-19369.4,15650.9) 24902.3
2203 (-18008.8,15686.1) 23882.4
2218 (-20252.3,15753.3) 25657.8
2234 (-19433,14926.6) 24504
2250 (-18376,13790.9) 22975.4
2265 (-17691.1,14840.3) 23091.4
2281 (-17363.6,13376.7) 21918.7
2296 (-16968.4,13441) 21646.9
2312 (-20024.3,14293.2) 24602.2
2328 (-18100.4,11838.5) 21628.1
2343 (-18988.9,11655) 22280.4
2359 (-17791.8,13620.9) 22407.1
2375 (-20310,12901.8) 24061.4
2390 (-20175.2,14047) 24583.7
2406 (-20140.7,13015.8) 23980.4
2421 (-20988,12150.3) 24251.3
2437 (-17774.4,11556.6) 21201
2453 (-17240.9,8343.37) 19153.6
2468 (-19302.9,11034.1) 22234.1
2484 (-17917.6,10946.9) 20997
2500 (-17486.5,10539.2) 20417
2515 (-19106.4,10542.4) 21821.9
2531 (-17839.9,10773.7) 20840.7
2546 (-19595.8,9812.64) 21915.3
2562 (-18536.6,8626.97) 20445.8
2578 (-19188.1,11550.9) 22396.6
2593 (-19378.6,8021.81) 20973.3
2609 (-17965.9,10349.4) 20733.6
2625 (-20235.7,12140.2) 23598
2640 (-18344.6,9054.79) 20457.6
2656 (-19314.1,10316.4) 21896.6
2671 (-17952.7,10968.5) 21038.2
2687 (-17581.6,8226.39) 19411
2703 (-18086.7,9034.68) 20217.7
2718 (-16728.9,9886.98) 19432.2
2734 (-19799.1,9588.45) 21998.7
2750 (-16320,9861.64) 19068.2
2765 (-16406.1,9191.52) 18805.4
2781 (-17696.3,7145.07) 19084.3
2796 (-18518.2,8243.83) 20270.3
2812 (-17846.3,8455.27) 19748
2828 (-17305.1,8430.32) 19249.3
2843 (-16609.4,7764.65) 18334.7
2859 (-17582.6,6485.7) 18740.6
2875 (-16149.5,6297.68) 17334
2890 (-16051,9090.07) 18446.3
2906 (-17854.8,4792.72) 18486.8
2921 (-17605,5508.89) 18446.8
2937 (-19373.9,9730.65) 21680.2
2953 (-17298.6,5635.7) 18193.5
2968 (-17243.9,6477.35) 18420.3
2984 (-16417.9,6591.67) 17691.7
3000 (-16955.6,6895.89) 18304.3
3015 (-16159,6859.32) 17554.6
3031 (-17725.1,7082.75) 19087.8
3046 (-18167.8,6171.81) 19187.5
3062 (-16022.9,6380.8) 17246.7
3078 (-17497.5,6226.7) 18572.4
3093 (-17528.4,5110.41) 18258.2
3109 (-15893.3,7795.66) 17702.3
3125 (-16115.9,6889.86) 17526.9
3140 (-17186.9,3532.71) 17546.2
3156 (-17645.1,3112.54) 17917.5
3171 (-17260.2,5979.69) 18266.7
3187 (-18851.1,4656.45) 19417.7
3203 (-17172.7,6573.53) 18387.9
3218 (-18559.2,5893.02) 19472.3
3234 (-17588.9,5939.17) 18564.6
3250 (-18388.1,5864.74) 19300.7
3265 (-15400.6,4883.9) 16156.4
3281 (-17059.6,2644.94) 17263.5
3296 (-17402.8,4866.4) 18070.4
3312 (-15370.8,2394.75) 15556.2
3328 (-18636,3477.96) 18957.8
3343 (-15241.9,4343.75) 15848.8
3359 (-16562.3,6190.84) 17681.5
3375 (-16499,6053.1) 17574.4
3390 (-15725.6,3192.43) 16046.4
3406 (-16608.5,2348.11) 16773.7
3421 (-17527.4,2571.76) 17715.1
3437 (-16117,3799.81) 16558.8
3453 (-16625.8,2519.65) 16815.7
3468 (-15557.7,2622.12) 15777.2
3484 (-15500.2,5470.58) 16437.2
3500 (-18195.5,2420.93) 18355.8
3515 (-17302.6,3637.38) 17680.8
3531 (-18347.5,3772.59) 18731.4
3546 (-16084.3,2917.44) 16346.7
3562 (-17328.7,3259.07) 17632.5
3578 (-15202.2,2968.19) 15489.2
3593 (-16176.2,1643.44) 16259.5
3609 (-17740.5,2612.95) 17931.9
3625 (-15952.8,2121.82) 16093.3
3640 (-16499.4,751.404) 16516.5
3656 (-16898.4,3638.6) 17285.7
3671 (-16847.4,2804.92) 17079.3
3687 (-18898.4,810.259) 18915.8
3703 (-18146,2614.56) 18333.4
3718 (-15975.7,375.845) 15980.1
3734 (-14483.1,1727.77) 14585.8
3750 (-18178.2,-550.54) 18186.6
3765 (-16505,2758.1) 16733.9
3781 (-16065.5,1111.27) 16103.9
3796 (-15527.2,-328.095) 15530.7
3812 (-16103,-910.323) 16128.8
3828 (-16610.2,-980.579) 16639.2
3843 (-15801.8,457.807) 15808.4
3859 (-17562.1,2665.76) 17763.3
3875 (-16356.5,466.906) 16363.1
3890 (-16332.3,-846.6) 16354.2
3906 (-16311.5,434.886) 16317.3
3921 (-16437.4,2365.94) 16606.8
3937 (-17208.2,1002.12) 17237.4
3953 (-14876.4,-51.1213) 14876.5
3968 (-18288.6,-434.635) 18293.8
3984 (-16866.5,1427.95) 16926.9
