Frequency Result Magnitude
0 (-19970,0) 19970
15 (-20286,459.693) 20291.2
31 (-20411.2,-497.275) 20417.3
46 (-20531.8,-897.524) 20551.4
62 (-20103.2,-1834.57) 20186.8
78 (-20770.9,-2546.64) 20926.4
93 (-22225.5,-2363.53) 22350.8
109 (-19854.3,-1787.83) 19934.6
125 (-21265.5,-5141.05) 21878.1
140 (-24965.3,-3204.03) 25170.1
156 (-21456.9,-8074.92) 22926
171 (-20971.3,-8415.11) 22596.7
187 (-21242.7,-8409.78) 22846.8
203 (-24128.7,-10360.6) 26259
218 (-24217.4,-11154.4) 26662.7
234 (-22362.6,-8743.84) 24011.3
250 (-23695.7,-10315.6) 25843.7
265 (-25241.3,-10663.9) 27401.5
281 (-24308.3,-10042) 26300.9
296 (-25351.5,-11590.8) 27875.5
312 (-24347.3,-15727) 28985
328 (-27199.6,-16333.3) 31726.9
343 (-28185.8,-16567.3) 32694.2
359 (-26900.3,-14986.4) 30793.2
375 (-29673.4,-17601.3) 34501
390 (-31539.7,-19617.7) 37143.1
406 (-31800.8,-22223.3) 38796.4
421 (-31985.3,-21926.7) 38779.4
437 (-30064.2,-23499.6) 38158.8
453 (-34265.6,-26101) 43074.3
468 (-37925.8,-27897.2) 47081
484 (-40401.6,-26220.9) 48164.5
500 (-37334.8,-27441.3) 46334.8
515 (-38205.5,-35580.5) 52207.6
531 (-44626.8,-42147.9) 61384
546 (-51444,-40551.6) 65505
562 (-48438,-40599.1) 63202.3
578 (-44825.3,-57636) 73015.2
593 (-58144.9,-80584.8) 99371.7
609 (-82997.2,-90069.2) 122479
625 (-89304.8,-87893.8) 125302
640 (-64282.5,-130737) 145686
656 (-77226.9,-292819) 302832
671 (-322289,-612071) 691738
687 (-1.56245e+06,-1.33905e+06) 2.05775e+06
703 (2.6968e+06,831833) 2.82217e+06
718 (523699,-19373.3) 524057
734 (134655,16128.1) 135617
750 (57837.2,96328.8) 112358
765 (77589.6,109350) 134080
781 (80513.4,75648.3) 110477
796 (61758.3,50080.6) 79512
812 (38242.1,50735.6) 63533.9
828 (40262.4,56715.7) 69553.8
843 (44485.4,48651.5) 65923.6
859 (44287.7,38392.4) 58612.1
875 (34053.3,36963.5) 50258.6
890 (30950.9,36148.6) 47588.7
906 (35212.2,35031.9) 49670.2
921 (33863.1,27421.1) 43573.2
937 (30901.3,22003.4) 37934.7
953 (25105.2,23474.8) 34370.5
968 (29926.5,22668.7) 37542.9
984 (29817,16904) 34275.4
1000 (27337.7,14275.5) 30840.5
1015 (24604.3,16418.4) 29579.3
1031 (25687.9,13363.2) 28955.9
1046 (27213.1,13787.5) 30506.6
1062 (27639.5,7149.35) 28549.2
1078 (26346.2,7179.25) 27306.9
1093 (24621,8528.33) 26056.2
1109 (30792.5,2418.85) 30887.4
1125 (27234.5,-1217.92) 27261.7
1140 (25196.6,1482.45) 25240.2
1156 (27380.6,1120.59) 27403.5
1171 (28303.9,-2667.31) 28429.3
1187 (28967.2,-6147.01) 29612.2
1203 (26158.8,-10147.6) 28058.1
1218 (26855.4,-8704.65) 28230.9
1234 (31105.1,-10486.6) 32825.2
1250 (32870.7,-14203.4) 35808.1
1265 (32560.7,-17158.5) 36805.1
1281 (33184,-18934.7) 38206
